"Q1_Age","Q2_Gender","Q3_Education","Q4_Language","Q5_Native","Q6_Marital_status","Q7_Family","Q8_First_Job_Sec","Q9_Agency_Name_Type","Q10_Emp._Type","Q11_Client_Name_Type","Q12_Reason","Q13_Previous_Job","Q14_Job_Lead","Q15_Guards_Deployed","Q16A_Formal_Recruitment","Q16B_English_Knowledge","Q16C_Comm._Skill","Q16D_Look_Presentable","Q16E_Compliance_Protocol","Q16F_Supervisor_Vigilance","Q16G_Grievance_Reporting","Q16H_Grievance_Redressal","Q16I_Worklife_Balance","Q17A_Jobtask_RecordMaintain","Q17B_Task_Reception","Q17C_Task_Guarding","Q17D_Task_PickandDrop","Q17E_Task_Telephone","Q17F_Documentation","Q17G_CCTV_Monitor","Q17H_Task_FirstAid","Q17I_EmergencyEvacuation","Q17J_Others_Parking_etc","Q18_Training_Agency","Q19A_Agency_Commu","Q19B_Agency_Computer","Q19C_Agency_Dressing","Q19D_Agency_Fire","Q19E_Agency_Emergency","Q19F_Agency_Grooming","Q19G_Agency_CCTV","Q19H_Agency_Walkie_Talkie","Q19I_Agency_Other_Training","Q20_TrainingProvided_Client","Q20A_Client_Communication","Q20B_Client_Computer","Q20C_Client_Dressing","Q20D_Clinet_FireFighting","Q20F_Client_EmergencyResponse","Q20G_Client_Grooming","Q20H_Client_CCTV","Q20I_Client_Walkie_Talkie","Q20J_Client_Other_Training","Q21_RefresherTraining_Agency","Q22_RefresherTraining_Client","Q23_TrainingQuality_Instructions","Q24_TimeNeeded_LearnSecurity","Q25_LongTerm_CareerPlan","Q26_Investment_PersonalDevelopment","Q27_Monthly_Income","Q28_Payment_Method","Q29_Second_Job","Q30_SecondJob_MonthlyIncome","Q31_Remittence_to_Home","Q32_OtherEarning_Members","Q33A_JobBenefits_ESIC","Q33B_JobBenefits_Pension","Q33C_JobBenefits_Bonus","Q33D_JobBenefits_Gratuity","Q33E_JobBenefits_PF","Q33F_JobBenefits_Loan","Q33G_JobBenefits_Kind","Q33H_JobBenefits_Transport","Q33I_JobBenefits_Lodging","Q34_Leaves_Entitled","Q35_Leaves_Paid","Q36_Workplace_Facilities","Q37A_JobTerms_Marksheet","Q37B_JobTerms_Salary","Q37C_JobTerms_Penalty","Q37D_JobTerms_Union","Q37E_JobTerms_TimelyPayment","Q37F_JobTerms_Promotion","Q37G_JobTerms_PaidLeavePayment","Q37H_JobTerms_ProtectiveGear","Q38_WorkWeek_Days","Q39_WorkHours_Daily","Q40_WorkHours_OvertimeFreq","Q41_WorkHours_OvertimeHours","Q42A_JobSatisfaction_JobOverall","Q42B_JobSatisfaction_Salary","Q42C_JobSatisfaction_WorkHours","Q42D_JobSatisfaction_OrgCulture","Q42E_JobSatisfaction_Colleagues","Q42F_JobSatisfaction_SupervisorAgency","Q42G_JobSatisfaction_SupervisorsClient","Q43A_JobPerception_FairTreatment","Q43B_JobPerception_JobSecurity","Q43C_JobPerception_AttritionRate","Q43D_JobPerception_SalaryNegotiation","Q43E_JobPerception_Earning","Q43F_JobPerception_JobRespect","Q43G_JobPerception_VisitorsTreatment","Q43H_JobPerception_CareerPath","Q43I_JobPerception_PrideFactor","Q43J_JobPerception_RecommendFriend"
"26-30","Male","10th pass","Fluent","Maharasthra (other than Mumbai)","Married","No",2010,"MSGB","Permanant contract","Non-MNC office","worked elsewhere but found this better","studio","Job advertisement","Above 50","Agress","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","yes","no","yes","no","yes","yes","no","yes","no","yes","Yes","Yes","no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Fair","1-4weeks","Remain in security sector","No","9001-10,000","Bank payment","No","No","No","None","Yes","No","No","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","4-5 hours","Disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Neutral","Strongly disagree","Disagree","Neutral","Agree","Strongly disagree","Neutral","Disagree"
"36-40","Male","10th pass","Intermediate","Mumbai","Married","Yes",1996,"MSGB","Permanant contract","Non-MNC office","Wanted career in security","None","Job advertisement","Above 50","Agress","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","yes","no","yes","no","no","yes","no","no","no","no","Yes","Yes","no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Good","1-4weeks","Remain in security sector","No","9001-10,000","Bank payment","No","No","No","Spouse","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Satisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Agree","Disagree","Strongly disagree","Disagree","Neutral","Agree","Strongly disagree","Disagree","Disagree"
"36-40","Male","10th pass","Fluent","Mumbai","Married","Yes",2002,"MSGB","Permanant contract","Non-MNC office","worked elsewhere but found this better","catering","Personal contact","Above 50","Agress","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","yes","no","yes","no","no","yes","no","no","no","no","Yes","Yes","no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","no","no","yes","no","no",2,"No refresher training","Once in three months","Fair","1-7days","Remain in security sector","No","9001-10,000","Bank payment","No","No","No","None","Yes","No","Yes","Yes","Yes","Yes","Not applicable/no idea","Not applicable/no idea","Not applicable/no idea","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Disatisfied","Disatisfied","Satisfied","Satisfied","Satisfied","Disatisfied","Niether satisfied nor disatisfied","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Strongly disagree","Disagree","Strongly disagree"
"41-45","Male","Stand. 6-9","Intermediate","Mumbai","Married","Yes",2002,"MSGB","Permanant contract","Non-MNC office","worked elsewhere but found this better","Delivery","Job advertisement","Above 50","Agress","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","yes","no","yes","no","no","yes","no","no","no","no","Yes","No","no","no","yes","no","yes","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Fair","1-7days","Remain in security sector","No","9001-10,000","Bank payment","No","No","No","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","No","6 days","7-8 hours","2-3 times in a month","6-8 hours","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Agree","Neutral","Disagree","Disagree","Neutral","Agree","Disagree","Disagree","Neutral"
8,"Male","10th pass","Fluent","Mumbai","Married","Yes",1997,"MSGB","Permanant contract","Non-MNC office","worked elsewhere but found this better","photo","Personal contact","Above 50","Agress","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","yes","no","yes","no","no","yes","no","no","no","no","Yes","Yes","no","no","yes","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","no",2,"No refresher training","Once in three months","Fair","1-4weeks","Remain in security sector","No","9001-10,000","Bank payment","No","No","No","Brother/Sisters (siblings)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Satisfied","Disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Agree","Disagree","Strongly disagree","Disagree","Neutral","Agree","Strongly disagree","Disagree","Neutral"
"26-30","Male","10th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2007,"MSGB","Permanant contract","Non-MNC office","friend/family encouraged","None","Job advertisement","Above 50","Agress","Agree","Agree","Neutral","Agree","Neutral","Agree","Agree","Neutral","yes","no","yes","no","no","yes","no","no","no","no","Yes","Yes","no","yes","yes","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Good","1-4weeks","Not sure about it","I plan to do so in future","9001-10,000","Bank payment","No","No","No","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Niether satisfied nor disatisfied","Disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Stronlgy Agree","Neutral","Strongly disagree","Disagree","Agree","Agree","Agree","Neutral","Agree"
"31-35","Male","10th pass","Fluent","Maharasthra (other than Mumbai)","Married","Yes",2000,"MSGB","Permanant contract","Non-MNC office","Found no better job","barc","Job advertisement","Above 50","Agress","Agree","Neutral","Neutral","Agree","Agree","Neutral","Neutral","Agree","yes","no","yes","no","no","yes","no","no","no","no","Yes","Yes","no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Good","1-7days","Not sure about it","No","9001-10,000","Bank payment","No","No","No","Father/Mother (Parents)","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","Once in a week","6-8 hours","Niether satisfied nor disatisfied","Disatisfied","Satisfied","Satisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Neutral","Neutral","Disagree","Strongly disagree","Disagree","Agree","Agree","Disagree","Neutral","Agree"
"41-45","Male","10th pass","Intermediate","Maharasthra (other than Mumbai)","Married","Yes",2010,"MSGB","Permanant contract","Non-MNC office","worked elsewhere but found this better","auto","Personal contact","Above 50","Agress","Neutral","Neutral","Neutral","Agree","Agree","Agree","Agree","Agree","yes","no","yes","no","no","yes","no","no","no","no","Yes","Yes","no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Fair","1-7days","Not sure about it","No","9001-10,000","Bank payment","No","No","No","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neutral","Neutral","Disagree","Strongly disagree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral"
"41-45","Male","10th pass","Intermediate","Mumbai","Married","Yes",1998,"MSGB","Permanant contract","Non-MNC office","worked elsewhere but found this better","mill","Personal contact","Above 50","Agress","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","yes","no","yes","no","no","yes","no","no","no","no","Yes","No","no","yes","yes","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Fair","1-7days","Not sure about it","No","9001-10,000","Bank payment","No","No","No","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Disatisfied","Disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral"
"36-40","Male","12th pass","Fluent","Mumbai","Married","Yes",2004,"MSGB","Permanant contract","Non-MNC office","Other reason","none","Job advertisement","Above 50","Agress","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","yes","yes","yes","no","no","yes","no","no","no","no","Yes","Yes","no","yes","yes","no","yes","no","no","no","yes","yes","no","yes","yes","no","yes","no","no",2,"No refresher training","Once in three months","Good","1-4weeks","Remain in security sector","No","9001-10,000","Bank payment","No","No","No","None","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Weekely off","Up to 30 days","Uniform","No","No","No","Yes","Yes","No","No","Yes","6 days","7-8 hours","2-3 times in a month","6-8 hours","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Disagree","Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Disagree"
"46-50","Male","Stand. 6-9","Intermediate","Other state","Married","No",1987,"Local player small","Renewable fix term","Housing Society","Found no better job","agri","Walk in","6-10","Strongly disagree","Disagree","Neutral","Strongly disagree","Disagree","Disagree","Strongly Disagree","Stronlgy disagree","Disagree","yes","no","yes","no","no","No","no","no","no","yes","No","No","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",2,"Not applicable","Not applicable","Fair","1-7days","Not sure about it","No","5000-7000","Cash in hand","Yes","4000 was","Yes","None","No","No","No","No","No","No","No","No","Yes","No leave","No paid leaves","Uniform","No","Not applicable/no idea","Yes","No","No","No","No","No","7 days","11-12 hours","Others","Not applicable","Disatisfied","Disatisfied","Disatisfied","Niether satisfied nor disatisfied","Satisfied","Satisfied","Satisfied","Agree","Neutral","Neutral","Agree","Strongly disagree","Strongly disagree","Neutral","Agree","Strongly disagree","Strongly disagree"
8,"Male","Stand. 6-9","Minimal/no idea","Mumbai","Married","Yes",2000,"Local player small","Verbal","Housing Society","worked elsewhere but found this better","factory","Walk in","1-5","Strongly disagree","Strongly disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","yes","no","yes","no","no","No","no","no","no","no","No","No","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",2,"Not applicable","Not applicable","Poor","1-7days","Remain in security sector","No","5000-7000","Cash in hand","No","No","Not applicable","Spouse","No","No","No","No","No","No","No","No","No","No leave","No paid leaves","Uniform","No","No","Yes","No","Yes","No","No","No","7 days","11-12 hours","Others","Not applicable","Disatisfied","Disatisfied","Disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Strongly disagree","Disagree","Disagree"
"41-45","Male","10th pass","Minimal/no idea","Other state","Married","No",2000,"Direct employer","Permanant contract","Housing Society","Friend/family memebrs are here","agri","Personal contact","1-5","Strongly disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","no","no","yes","no","no","No","no","no","no","yes","No","No","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no",2,"Not applicable","Not applicable","Fair","1-7days","Not sure about it","No","5000-7000","Cash in hand","No","No","Yes","None","No","No","Yes","No","No","No","No","No","No","Weekely off","More than 30 days","Uniform",6,"No","Not applicable/no idea","Yes","No","Yes","No","Not applicable/no idea","7 days","9-10 hours","Others","Not applicable","Disatisfied","Disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Niether satisfied nor disatisfied","Not applicable","Neutral","Agree","Disagree","Neutral","Disagree","Neutral","Neutral","Strongly disagree","Disagree","Neutral"
